N,alpha,cutoff
1,0.001,1102.4824
1,0.005,191.8067
1,0.01,97.8216
1,0.05,18.5767
2,0.001,34.8548
2,0.005,15.2274
2,0.01,10.3598
2,0.05,3.8784
3,0.001,12.2842
3,0.005,6.3788
3,0.01,4.7782
3,0.05,2.022
4,0.001,6.1861
4,0.005,3.6642
4,0.01,2.8543
4,0.05,1.3493
5,0.001,4.249
5,0.005,2.6062
5,0.01,2.017
5,0.05,1.0
6,0.001,3.1531
6,0.005,1.9924
6,0.01,1.5858
6,0.05,0.7924
7,0.001,2.5549
7,0.005,1.6359
7,0.01,1.284
7,0.05,0.6596
8,0.001,2.0569
8,0.005,1.349
8,0.01,1.0874
8,0.05,0.5619
9,0.001,1.6515
9,0.005,1.151
9,0.01,0.9333
9,0.05,0.4857
10,0.001,1.4608
10,0.005,0.9865
10,0.01,0.818
10,0.05,0.4392
11,0.001,1.2871
11,0.005,0.8768
11,0.01,0.7103
11,0.05,0.3933
12,0.001,1.1548
12,0.005,0.7929
12,0.01,0.6482
12,0.05,0.3582
13,0.001,1.0266
13,0.005,0.7242
13,0.01,0.5978
13,0.05,0.3277
14,0.001,0.9862
14,0.005,0.6706
14,0.01,0.5462
14,0.05,0.3007
15,0.001,0.8918
15,0.005,0.6114
15,0.01,0.4991
15,0.05,0.2792
16,0.001,0.8367
16,0.005,0.5767
16,0.01,0.4692
16,0.05,0.2608
17,0.001,0.7586
17,0.005,0.5339
17,0.01,0.438
17,0.05,0.2423
18,0.001,0.7061
18,0.005,0.5032
18,0.01,0.4135
18,0.05,0.229
19,0.001,0.6757
19,0.005,0.4664
19,0.01,0.3859
19,0.05,0.2176
20,0.001,0.609
20,0.005,0.4485
20,0.01,0.3676
20,0.05,0.2083
21,0.001,0.5973
21,0.005,0.4173
21,0.01,0.3456
21,0.05,0.1926
22,0.001,0.5707
22,0.005,0.4028
22,0.01,0.333
22,0.05,0.1868
23,0.001,0.5216
23,0.005,0.3819
23,0.01,0.3154
23,0.05,0.1769
24,0.001,0.512
24,0.005,0.3686
24,0.01,0.3027
24,0.05,0.168
25,0.001,0.5072
25,0.005,0.3463
25,0.01,0.2893
25,0.05,0.1625
26,0.001,0.4699
26,0.005,0.3315
26,0.01,0.2731
26,0.05,0.1553
27,0.001,0.4493
27,0.005,0.3198
27,0.01,0.2652
27,0.05,0.1494
28,0.001,0.4402
28,0.005,0.3074
28,0.01,0.255
28,0.05,0.1434
29,0.001,0.42
29,0.005,0.2983
29,0.01,0.248
29,0.05,0.1382
30,0.001,0.397
30,0.005,0.2843
30,0.01,0.2346
30,0.05,0.1346
31,0.001,0.3801
31,0.005,0.2764
31,0.01,0.2289
31,0.05,0.1279
32,0.001,0.3793
32,0.005,0.2637
32,0.01,0.2184
32,0.05,0.1244
33,0.001,0.3626
33,0.005,0.2582
33,0.01,0.2137
33,0.05,0.1198
34,0.001,0.3484
34,0.005,0.2482
34,0.01,0.2044
34,0.05,0.1158
35,0.001,0.3462
35,0.005,0.2417
35,0.01,0.2004
35,0.05,0.1146
36,0.001,0.3259
36,0.005,0.2326
36,0.01,0.1934
36,0.05,0.1099
37,0.001,0.3096
37,0.005,0.2252
37,0.01,0.1866
37,0.05,0.1061
38,0.001,0.3052
38,0.005,0.2204
38,0.01,0.1839
38,0.05,0.1037
39,0.001,0.3117
39,0.005,0.2131
39,0.01,0.176
39,0.05,0.1001
40,0.001,0.296
40,0.005,0.2064
40,0.01,0.173
40,0.05,0.0992
41,0.001,0.2775
41,0.005,0.204
41,0.01,0.1698
41,0.05,0.0965
42,0.001,0.2785
42,0.005,0.1996
42,0.01,0.1655
42,0.05,0.0937
43,0.001,0.2729
43,0.005,0.1915
43,0.01,0.1598
43,0.05,0.0912
44,0.001,0.2647
44,0.005,0.1893
44,0.01,0.1572
44,0.05,0.0898
45,0.001,0.257
45,0.005,0.1793
45,0.01,0.1525
45,0.05,0.0874
46,0.001,0.2512
46,0.005,0.1771
46,0.01,0.1492
46,0.05,0.0846
47,0.001,0.2451
47,0.005,0.174
47,0.01,0.1477
47,0.05,0.0839
48,0.001,0.243
48,0.005,0.1718
48,0.01,0.1441
48,0.05,0.0819
49,0.001,0.2344
49,0.005,0.168
49,0.01,0.1401
49,0.05,0.0806
50,0.001,0.2284
50,0.005,0.1613
50,0.01,0.1371
50,0.05,0.0789
51,0.001,0.2167
51,0.005,0.1588
51,0.01,0.1336
51,0.05,0.0764
52,0.001,0.2185
52,0.005,0.1582
52,0.01,0.1332
52,0.05,0.0757
53,0.001,0.2122
53,0.005,0.1521
53,0.01,0.1293
53,0.05,0.0739
54,0.001,0.2057
54,0.005,0.1493
54,0.01,0.1262
54,0.05,0.072
55,0.001,0.2043
55,0.005,0.1456
55,0.01,0.1224
55,0.05,0.0716
56,0.001,0.2008
56,0.005,0.1446
56,0.01,0.1234
56,0.05,0.0709
57,0.001,0.198
57,0.005,0.1453
57,0.01,0.1226
57,0.05,0.0688
58,0.001,0.1976
58,0.005,0.1433
58,0.01,0.1173
58,0.05,0.0673
59,0.001,0.1877
59,0.005,0.1382
59,0.01,0.1169
59,0.05,0.0662
60,0.001,0.1836
60,0.005,0.1334
60,0.01,0.1124
60,0.05,0.0649
61,0.001,0.1887
61,0.005,0.1325
61,0.01,0.1083
61,0.05,0.0629
62,0.001,0.1803
62,0.005,0.1264
62,0.01,0.1084
62,0.05,0.0624
63,0.001,0.1798
63,0.005,0.1303
63,0.01,0.1073
63,0.05,0.0611
64,0.001,0.1744
64,0.005,0.1286
64,0.01,0.107
64,0.05,0.0604
65,0.001,0.1646
65,0.005,0.1241
65,0.01,0.1038
65,0.05,0.0596
66,0.001,0.1741
66,0.005,0.1273
66,0.01,0.1045
66,0.05,0.0602
67,0.001,0.166
67,0.005,0.1189
67,0.01,0.1002
67,0.05,0.0582
68,0.001,0.169
68,0.005,0.1204
68,0.01,0.1004
68,0.05,0.0583
69,0.001,0.1703
69,0.005,0.1153
69,0.01,0.0967
69,0.05,0.0562
70,0.001,0.1609
70,0.005,0.1141
70,0.01,0.0966
70,0.05,0.0551
71,0.001,0.1548
71,0.005,0.113
71,0.01,0.094
71,0.05,0.0551
72,0.001,0.1536
72,0.005,0.1116
72,0.01,0.0928
72,0.05,0.0533
73,0.001,0.1521
73,0.005,0.1108
73,0.01,0.0933
73,0.05,0.0534
74,0.001,0.1495
74,0.005,0.1102
74,0.01,0.0929
74,0.05,0.0527
75,0.001,0.1475
75,0.005,0.1094
75,0.01,0.0913
75,0.05,0.0522
76,0.001,0.1475
76,0.005,0.1054
76,0.01,0.0882
76,0.05,0.0504
77,0.001,0.1512
77,0.005,0.1044
77,0.01,0.0879
77,0.05,0.0506
78,0.001,0.1368
78,0.005,0.102
78,0.01,0.087
78,0.05,0.0501
79,0.001,0.1394
79,0.005,0.1004
79,0.01,0.0839
79,0.05,0.0492
80,0.001,0.1321
80,0.005,0.101
80,0.01,0.0843
80,0.05,0.0479
81,0.001,0.1337
81,0.005,0.1003
81,0.01,0.0851
81,0.05,0.048
82,0.001,0.1349
82,0.005,0.0982
82,0.01,0.0818
82,0.05,0.0475
83,0.001,0.1345
83,0.005,0.0985
83,0.01,0.0812
83,0.05,0.0466
84,0.001,0.1239
84,0.005,0.0953
84,0.01,0.0801
84,0.05,0.0459
85,0.001,0.1299
85,0.005,0.0949
85,0.01,0.0795
85,0.05,0.046
86,0.001,0.1282
86,0.005,0.0925
86,0.01,0.0772
86,0.05,0.0449
87,0.001,0.1246
87,0.005,0.0908
87,0.01,0.0757
87,0.05,0.0448
88,0.001,0.1216
88,0.005,0.0912
88,0.01,0.077
88,0.05,0.0446
89,0.001,0.121
89,0.005,0.0904
89,0.01,0.0764
89,0.05,0.0437
90,0.001,0.1255
90,0.005,0.0879
90,0.01,0.0744
90,0.05,0.0431
91,0.001,0.1282
91,0.005,0.0895
91,0.01,0.0741
91,0.05,0.0426
92,0.001,0.1154
92,0.005,0.0867
92,0.01,0.0728
92,0.05,0.0422
93,0.001,0.1208
93,0.005,0.0864
93,0.01,0.0725
93,0.05,0.0425
94,0.001,0.1194
94,0.005,0.0868
94,0.01,0.073
94,0.05,0.0415
95,0.001,0.1169
95,0.005,0.0853
95,0.01,0.0705
95,0.05,0.0408
96,0.001,0.1121
96,0.005,0.0837
96,0.01,0.0692
96,0.05,0.04
97,0.001,0.1134
97,0.005,0.0832
97,0.01,0.0687
97,0.05,0.0397
98,0.001,0.1129
98,0.005,0.0827
98,0.01,0.0692
98,0.05,0.0401
99,0.001,0.1132
99,0.005,0.0788
99,0.01,0.0674
99,0.05,0.0387
100,0.001,0.1083
100,0.005,0.0787
100,0.01,0.0658
100,0.05,0.0383
101,0.001,0.1077
101,0.005,0.0797
101,0.01,0.0658
101,0.05,0.0381
102,0.001,0.1083
102,0.005,0.0771
102,0.01,0.0653
102,0.05,0.038
103,0.001,0.1024
103,0.005,0.0773
103,0.01,0.0648
